station_code,station_name,station_name_medium,station_uic,station_type,station_tier,is_junction,country,lat,lng
NSCH,Bad Nieuweschans,Bad Nieuweschans,8400457,knooppuntStoptreinstation,Local station,True,NL,53.1844,7.19937
BF,Baflo,Baflo,8400089,stoptreinstation,Local station,False,NL,53.3608969,6.5185581
BRD,Barendrecht,Barendrecht,8400090,stoptreinstation,Local station,False,NL,51.854721069336,4.5533332824707
BNC,Barneveld Centrum,Barneveld C.,8400091,stoptreinstation,Local station,False,NL,52.139999389648,5.590277671814
BNN,Barneveld Noord,Barneveld Noord,8400092,stoptreinstation,Local station,False,NL,52.161388397217,5.5980553627014
BNZ,Barneveld Zuid,Barneveld Zuid,8400115,stoptreinstation,Local station,False,NL,52.128853,5.60246
BDM,Bedum,Bedum,8400094,stoptreinstation,Local station,False,NL,53.3068857,6.593054
BK,Beek-Elsloo,Beek-Elsloo,8400096,stoptreinstation,Local station,False,NL,50.947498321533,5.7866668701172
BSD,Beesd,Beesd,8400097,stoptreinstation,Local station,False,NL,51.899444580078,5.1944446563721
BL,Beilen,Beilen,8400100,stoptreinstation,Local station,False,NL,52.854721069336,6.5211110115051
BGN,Bergen op Zoom,Bergen op Zoom,8400108,stoptreinstation,Local station,False,NL,51.49388885498,4.2961111068726
BET,Best,Best,8400112,stoptreinstation,Local station,False,NL,51.509998321533,5.3891668319702
BV,Beverwijk,Beverwijk,8400113,stoptreinstation,Local station,False,NL,52.478332519531,4.6566667556763
BHV,Bilthoven,Bilthoven,8400114,stoptreinstation,Local station,False,NL,52.130001068115,5.2038888931274
BR,Blerick,Blerick,8400117,stoptreinstation,Local station,False,NL,51.372501373291,6.1550002098083
BLL,Bloemendaal,Bloemendaal,8400118,stoptreinstation,Local station,False,NL,52.404167175293,4.6275000572205
BDG,Bodegraven,Bodegraven,8400121,stoptreinstation,Local station,False,NL,52.081390380859,4.7461109161377
BN,Borne,Borne,8400124,stoptreinstation,Local station,False,NL,52.298889160156,6.7480554580689
BSK,Boskoop,Boskoop,8400125,stoptreinstation,Local station,False,NL,52.077777862549,4.6469445228577
BSKS,Boskoop Snijdelwijk,Snijdelwijk,8400126,stoptreinstation,Local station,False,NL,52.067658,4.646186
BHDV,Boven-Hardinxveld,Boven-Hardinxv.,8400236,stoptreinstation,Local station,False,NL,51.832222,4.878056
BKF,Bovenkarspel Flora,Bovenkarspel Fl.,8400230,stoptreinstation,Local station,False,NL,52.696109771729,5.2527775764465
BKG,Bovenkarspel-Grootebroek,Bovenkarspel-Gr.,8400127,stoptreinstation,Local station,False,NL,52.694999694824,5.2377777099609
BMR,Boxmeer,Boxmeer,8400128,knooppuntStoptreinstation,Local station,True,NL,51.644521767653,5.9390330314636
BTL,Boxtel,Boxtel,8400129,knooppuntStoptreinstation,Local station,True,NL,51.58433,5.31912
BD,Breda,Breda,8400131,knooppuntIntercitystation,Intercity station,True,NL,51.595554351807,4.7800002098083
BDPB,Breda-Prinsenbeek,Prinsenbeek,8400132,stoptreinstation,Local station,False,NL,51.606388092041,4.7208333015442
BKL,Breukelen,Breukelen,8400133,knooppuntStoptreinstation,Local station,True,NL,52.17149,4.9906
BMN,Brummen,Brummen,8400136,stoptreinstation,Local station,False,NL,52.091110229492,6.1469445228577
BP,Buitenpost,Buitenpost,8400139,knooppuntSneltreinstation,Fast-train station,True,NL,53.2564547,6.1446496
